"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Daring Thunder-Thief","U","C","378592","7.92","44121","11.41","49733","19.3%","49.7%","8055","48.4%","13391","51.8%","21446","50.5%","28200","49.0%","1.5pp"
"Deepmuck Desperado","U","U","113131","5.00","20286","6.61","77882","67.0%","50.5%","13798","49.5%","21874","53.6%","35672","52.0%","42053","49.1%","2.9pp"
"Djinn of Fool's Fall","U","C","368647","7.33","41988","10.76","76657","31.6%","49.1%","12394","47.8%","20750","51.5%","33144","50.1%","43414","48.2%","1.9pp"
"Double Down","U","M","15478","3.38","3900","3.66","12722","56.7%","50.8%","2183","54.6%","3392","53.5%","5575","53.9%","7049","48.2%","5.7pp"
"Duelist of the Mind","U","R","25707","2.58","9636","2.76","49819","87.3%","53.7%","8844","58.8%","13856","57.2%","22700","57.8%","27004","50.1%","7.7pp"
"Emergent Haunting","U","U","122262","5.33","20883","7.07","75904","62.9%","51.0%","13436","52.5%","20927","51.6%","34363","52.0%","41427","50.1%","1.8pp"
"Failed Fording","U","C","368456","7.29","48270","10.44","108353","38.4%","51.0%","18116","49.3%","30250","55.1%","48366","52.9%","59526","49.4%","3.5pp"
"Fblthp, Lost on the Range","U","R","34718","3.50","6516","4.30","25220","68.8%","48.4%","4208","45.1%","7107","49.4%","11315","47.8%","13815","48.7%","-0.9pp"
"Fleeting Reflection","U","U","152171","7.65","16539","11.35","9004","9.3%","47.0%","1387","44.2%","2440","50.2%","3827","48.0%","5139","46.1%","1.9pp"
"Geralf, the Fleshwright","U","M","7945","1.71","4497","1.67","23675","89.2%","52.9%","4094","55.6%","6574","57.2%","10668","56.6%","12924","49.8%","6.8pp"
"Geyser Drake","U","C","341408","6.42","41360","9.34","123167","51.7%","50.3%","21331","49.3%","33145","52.6%","54476","51.3%","68479","49.5%","1.8pp"
"Harrier Strix","U","C","369025","7.53","41001","10.99","66453","28.0%","49.9%","11440","50.1%","17686","53.6%","29126","52.2%","37161","48.0%","4.2pp"
"Jailbreak Scheme","U","C","368478","7.19","55030","10.00","146258","45.0%","53.3%","24124","51.6%","40758","57.8%","64882","55.5%","80643","51.3%","4.2pp"
"The Key to the Vault","U","R","50541","5.10","5652","7.87","6020","18.6%","45.9%","998","41.4%","1546","46.0%","2544","44.2%","3441","47.1%","-3.0pp"
"Loan Shark","U","C","320957","5.62","48319","7.95","203769","72.2%","52.0%","33876","51.7%","56909","55.1%","90785","53.8%","112544","50.5%","3.3pp"
"Marauding Sphinx","U","U","80177","3.41","22345","4.01","113998","86.2%","53.6%","18530","55.0%","32461","58.6%","50991","57.3%","62701","50.4%","6.9pp"
"Metamorphic Blast","U","U","121983","5.19","20949","7.05","87412","70.7%","53.0%","14286","51.7%","24590","57.7%","38876","55.5%","48108","50.7%","4.8pp"
"Nimble Brigand","U","U","95272","4.02","20420","5.04","97537","82.5%","51.7%","17022","53.0%","26748","54.1%","43770","53.7%","53606","50.1%","3.6pp"
"Outlaw Stitcher","U","U","89666","3.79","22030","4.66","106421","83.5%","51.6%","17446","51.2%","29220","55.0%","46666","53.6%","59448","49.9%","3.7pp"
"Peerless Ropemaster","U","C","380342","7.98","45511","11.47","55228","20.6%","52.2%","8576","51.5%","15428","55.5%","24004","54.1%","31127","50.6%","3.5pp"
"Phantom Interference","U","C","332591","5.97","51025","8.33","200300","66.9%","53.0%","34741","54.3%","55135","57.0%","89876","56.0%","109510","50.5%","5.5pp"
"Plan the Heist","U","U","132575","5.82","21421","8.00","73306","57.8%","53.5%","11953","52.7%","20463","58.0%","32416","56.1%","40704","51.4%","4.6pp"
"Razzle-Dazzler","U","C","352470","6.99","42875","10.01","103167","41.9%","49.2%","18045","48.7%","28052","51.3%","46097","50.3%","56873","48.3%","2.0pp"
"Seize the Secrets","U","C","366759","7.22","45986","10.45","94563","35.3%","51.3%","16164","50.3%","26103","54.8%","42267","53.1%","52061","49.7%","3.4pp"
"Shackle Slinger","U","U","136667","6.32","15585","9.28","31616","35.4%","48.2%","5294","47.3%","8534","51.4%","13828","49.8%","17742","46.9%","2.9pp"
"Shifting Grift","U","U","151828","7.68","16357","11.42","6796","7.1%","46.3%","1073","43.5%","1881","48.2%","2954","46.5%","3822","46.0%","0.4pp"
"Slickshot Lockpicker","U","U","91622","3.80","24241","4.64","121889","85.8%","52.8%","20427","50.4%","34508","58.2%","54935","55.3%","66343","50.5%","4.8pp"
"Slickshot Vault-Buster","U","C","381430","8.24","44259","11.75","41871","16.2%","48.5%","7082","46.5%","11367","49.9%","18449","48.6%","23331","48.4%","0.2pp"
"Spring Splasher","U","C","372341","7.64","45247","10.89","80879","30.8%","48.9%","14029","49.8%","21341","49.7%","35370","49.7%","45298","48.2%","1.5pp"
"Step Between Worlds","U","R","65109","6.28","7932","9.60","1622","3.5%","45.3%","249","","458","","707","47.0%","910","43.8%","3.1pp"
"Stoic Sphinx","U","R","18792","1.96","9710","1.97","52534","90.0%","54.7%","8850","58.8%","14691","60.3%","23541","59.8%","28638","50.5%","9.3pp"
"Stop Cold","U","C","350340","6.60","44218","9.63","129171","50.1%","51.2%","20736","47.9%","35782","55.8%","56518","52.9%","72223","49.7%","3.2pp"
"Take the Fall","U","C","358754","6.87","57490","9.40","188732","55.7%","52.8%","32057","52.2%","53244","57.2%","85301","55.3%","102657","50.7%","4.6pp"
"This Town Ain't Big Enough","U","U","124728","5.33","22857","7.18","89917","67.8%","51.8%","14132","49.3%","25300","56.4%","39432","53.9%","50115","49.9%","4.0pp"
"Three Steps Ahead","U","R","26198","2.62","8939","2.86","45502","85.6%","53.5%","7502","53.6%","12970","60.5%","20472","58.0%","24751","49.6%","8.4pp"
"Visage Bandit","U","U","117397","4.96","19900","6.78","77894","67.5%","51.3%","12879","49.9%","21291","53.9%","34170","52.4%","43543","50.3%","2.1pp"
"Ambush Gigapede","B","C","353374","6.50","56899","9.10","200806","59.2%","54.0%","30291","53.3%","52538","57.9%","82829","56.2%","117417","52.4%","3.8pp"
"Binding Negotiation","B","U","132915","5.75","20988","8.11","68357","55.0%","52.9%","11737","53.7%","17722","55.0%","29459","54.5%","38747","51.7%","2.8pp"
"Blacksnag Buzzard","B","C","363578","6.95","43255","10.27","84771","33.3%","51.2%","14682","49.3%","20866","51.5%","35548","50.6%","49187","51.6%","-1.1pp"
"Blood Hustler","B","U","68007","2.89","21753","3.37","118753","92.2%","53.7%","21364","54.4%","30906","56.7%","52270","55.7%","66373","52.0%","3.7pp"
"Boneyard Desecrator","B","C","367330","7.20","42498","10.67","70359","28.2%","50.7%","11199","48.8%","17390","52.4%","28589","51.0%","41807","50.5%","0.5pp"
"Caustic Bronco","B","R","17915","1.86","10427","1.90","57595","92.2%","54.7%","10417","62.9%","14553","55.6%","24970","58.6%","32374","51.6%","7.0pp"
"Consuming Ashes","B","C","215823","3.69","62012","4.44","336563","90.3%","54.8%","55213","54.4%","88623","59.5%","143836","57.6%","191590","52.7%","4.9pp"
"Corrupted Conviction","B","C","379949","7.88","45097","11.41","48070","18.0%","52.3%","7732","51.8%","11787","52.6%","19519","52.3%","28511","52.2%","0.1pp"
"Desert's Due","B","C","238050","3.96","67050","4.89","360607","89.2%","54.9%","62614","55.0%","94121","58.9%","156735","57.3%","202620","52.9%","4.4pp"
"Desperate Bloodseeker","B","C","290396","4.78","63609","6.36","331861","87.1%","54.7%","59135","56.6%","83850","56.5%","142985","56.5%","188453","53.3%","3.3pp"
"Fake Your Own Death","B","C","370513","7.23","50207","10.41","98338","33.0%","53.3%","15602","53.2%","24519","56.0%","40121","54.9%","58048","52.1%","2.8pp"
"Forsaken Miner","B","U","108675","4.54","17568","6.24","77265","74.4%","53.1%","13825","58.1%","18345","51.4%","32170","54.3%","45052","52.2%","2.1pp"
"Gisa, the Hellraiser","B","M","5919","1.27","4769","1.25","27287","94.2%","55.5%","4658","59.9%","7184","62.3%","11842","61.4%","14970","50.6%","10.8pp"
"Hollow Marauder","B","U","74799","3.24","29184","3.59","162523","91.4%","55.8%","25813","55.4%","42525","61.5%","68338","59.2%","93265","53.2%","6.0pp"
"Insatiable Avarice","B","R","43886","4.18","5875","6.08","15178","44.3%","51.7%","2484","48.4%","3915","56.0%","6399","53.1%","8737","50.6%","2.4pp"
"Kaervek, the Punisher","B","R","22252","2.29","8225","2.43","41414","87.3%","51.4%","7049","49.3%","10720","53.0%","17769","51.5%","23513","51.2%","0.3pp"
"Lively Dirge","B","U","123651","5.28","22007","7.19","78921","60.0%","54.2%","12626","52.3%","20140","58.3%","32766","56.0%","45908","52.9%","3.1pp"
"Mourner's Surprise","B","C","338709","5.96","63395","8.12","254275","66.8%","54.7%","40931","52.7%","64792","58.3%","105723","56.1%","148036","53.7%","2.4pp"
"Neutralize the Guards","B","U","151578","7.31","18179","10.73","14915","13.9%","50.8%","2489","50.0%","3702","53.9%","6191","52.3%","8695","49.6%","2.7pp"
"Nezumi Linkbreaker","B","C","361443","6.93","47833","9.97","119461","42.1%","53.6%","20868","55.6%","29107","54.3%","49975","54.9%","69419","52.7%","2.2pp"
"Overzealous Muscle","B","C","375020","7.56","44190","11.09","68613","26.4%","50.0%","10503","47.4%","17546","51.0%","28049","49.6%","40596","50.2%","-0.6pp"
"Pitiless Carnage","B","R","63645","6.12","7536","9.46","2074","4.6%","46.6%","329","","533","47.5%","862","45.1%","1209","47.6%","-2.5pp"
"Rakish Crew","B","U","119443","5.28","17218","7.35","53276","53.5%","50.7%","9048","47.7%","13145","53.0%","22193","50.8%","31015","50.7%","0.2pp"
"Rattleback Apothecary","B","U","93847","3.83","18297","5.09","92637","86.0%","53.1%","16069","52.4%","23529","55.6%","39598","54.3%","53003","52.3%","2.0pp"
"Raven of Fell Omens","B","C","301976","5.15","49430","7.27","222604","76.7%","52.6%","39585","52.8%","57045","54.6%","96630","53.9%","125649","51.6%","2.2pp"
"Rictus Robber","B","U","96169","3.91","22179","5.08","112754","86.1%","53.4%","19183","53.4%","28609","55.3%","47792","54.6%","64851","52.6%","2.0pp"
"Rooftop Assassin","B","C","334855","5.83","48026","8.53","189468","66.7%","53.2%","30333","52.3%","48652","56.6%","78985","55.0%","110260","51.9%","3.1pp"
"Rush of Dread","B","R","22247","2.31","10410","2.37","55866","89.1%","55.0%","9184","55.2%","14552","62.2%","23736","59.5%","31709","51.4%","8.0pp"
"Servant of the Stinger","B","U","92471","3.69","23414","4.65","125022","89.3%","54.6%","22158","56.1%","31914","56.6%","54072","56.4%","70796","53.1%","3.3pp"
"Shoot the Sheriff","B","U","73311","3.07","23174","3.61","126811","91.3%","54.6%","22185","54.8%","32973","59.4%","55158","57.5%","71215","52.2%","5.4pp"
"Skulduggery","B","C","350389","6.36","52709","9.03","160075","51.6%","52.2%","26333","51.3%","40185","54.2%","66518","53.1%","93273","51.5%","1.6pp"
"Tinybones Joins Up","B","R","53810","5.20","5873","8.18","4653","13.5%","47.9%","775","46.2%","1178","49.7%","1953","48.3%","2688","47.5%","0.8pp"
"Tinybones, the Pickpocket","B","M","9825","2.00","3803","2.13","19499","87.5%","53.5%","3389","57.1%","4981","55.2%","8370","56.0%","11084","51.6%","4.4pp"
"Treasure Dredger","B","U","113778","4.66","20780","6.41","96895","79.3%","52.4%","17522","53.7%","24213","52.7%","41735","53.1%","55051","51.9%","1.2pp"
"Unfortunate Accident","B","U","75637","3.12","24182","3.66","131838","90.7%","54.5%","21964","53.6%","34558","59.0%","56522","56.9%","74866","52.5%","4.4pp"
"Unscrupulous Contractor","B","U","106060","4.33","20080","5.89","93311","78.7%","53.1%","15952","51.7%","23509","55.8%","39461","54.1%","53683","52.4%","1.7pp"
"Vadmir, New Blood","B","R","17258","1.80","9641","1.84","53753","93.3%","54.5%","9657","59.9%","13943","56.6%","23600","57.9%","30135","51.7%","6.2pp"
"Vault Plunderer","B","C","263643","4.30","63725","5.57","346712","90.1%","55.2%","61585","56.3%","89025","58.0%","150610","57.3%","195586","53.5%","3.8pp"
"Brimstone Roundup","R","U","136221","6.39","15471","9.37","26168","29.3%","48.2%","4456","46.4%","6816","48.8%","11272","47.9%","14861","48.3%","-0.5pp"
"Calamity, Galloping Inferno","R","R","15262","1.64","8614","1.63","46075","90.4%","53.4%","7529","53.3%","10945","56.4%","18474","55.1%","27128","52.0%","3.2pp"
"Caught in the Crossfire","R","U","141966","6.63","14837","9.95","18538","21.4%","49.6%","2944","46.5%","4485","49.9%","7429","48.5%","11080","50.3%","-1.8pp"
"Cunning Coyote","R","U","105051","4.32","18646","5.71","88402","79.8%","53.8%","15708","55.3%","20162","53.7%","35870","54.4%","52484","53.3%","1.1pp"
"Deadeye Duelist","R","C","325946","5.79","40978","8.30","158103","66.3%","51.2%","27959","50.4%","37340","51.5%","65299","51.1%","92626","51.2%","-0.1pp"
"Demonic Ruckus","R","U","130005","5.64","16332","8.11","50369","52.7%","52.7%","8531","53.4%","11488","52.3%","20019","52.8%","30328","52.6%","0.2pp"
"Discerning Peddler","R","C","350005","6.45","43830","9.22","160549","61.6%","53.5%","28540","54.2%","36959","52.9%","65499","53.5%","94970","53.4%","0.1pp"
"Explosive Derailment","R","C","260730","4.28","47085","5.77","238217","85.4%","53.5%","40091","52.4%","57562","55.8%","97653","54.4%","140159","52.8%","1.6pp"
"Ferocification","R","U","137895","6.51","13941","9.88","20791","25.4%","51.2%","3348","48.7%","4680","51.0%","8028","50.1%","12760","51.9%","-1.8pp"
"Gila Courser","R","U","106504","4.39","19000","5.84","87913","77.9%","53.5%","15401","53.3%","20124","53.2%","35525","53.2%","52116","53.6%","-0.4pp"
"Great Train Heist","R","R","29332","2.95","6903","3.41","30551","75.8%","52.3%","4668","51.5%","7053","55.2%","11721","53.7%","18780","51.4%","2.4pp"
"Hell to Pay","R","R","30048","2.92","6532","3.49","31534","83.2%","51.3%","5334","48.9%","7546","53.3%","12880","51.5%","18582","51.2%","0.3pp"
"Hellspur Brute","R","U","106273","4.47","16648","6.02","76339","77.5%","52.9%","12359","53.4%","18047","54.4%","30406","54.0%","45990","52.2%","1.8pp"
"Hellspur Posse Boss","R","R","17942","1.91","8912","1.92","48308","88.6%","55.8%","8233","60.6%","11549","61.6%","19782","61.2%","28381","52.0%","9.2pp"
"Highway Robbery","R","C","371604","7.38","45939","10.58","96376","35.6%","52.2%","16824","49.9%","23639","53.4%","40463","51.9%","55806","52.4%","-0.4pp"
"Irascible Wolverine","R","C","338276","6.02","46088","8.55","165775","60.9%","52.7%","28501","51.0%","39487","53.0%","67988","52.1%","97691","53.1%","-1.0pp"
"Iron-Fist Pulverizer","R","C","368777","7.29","39579","10.77","68810","29.5%","51.2%","10722","49.4%","17509","53.2%","28231","51.8%","40641","50.8%","1.0pp"
"Longhorn Sharpshooter","R","U","74546","3.06","20343","3.72","109403","89.6%","54.4%","18713","55.6%","26431","57.3%","45144","56.6%","64101","52.8%","3.8pp"
"Magda, the Hoardmaster","R","R","17415","1.80","8217","1.84","43900","90.9%","52.7%","7926","56.6%","10757","54.0%","18683","55.1%","25170","51.0%","4.1pp"
"Magebane Lizard","R","U","150633","7.48","14682","11.35","8023","9.3%","49.4%","1378","45.5%","1808","46.8%","3186","46.2%","4837","51.4%","-5.2pp"
"Mine Raider","R","C","346794","6.34","40297","9.26","128139","54.1%","51.7%","21833","50.8%","29854","51.7%","51687","51.4%","76368","51.9%","-0.6pp"
"Outlaws' Fury","R","C","382144","8.24","41983","11.82","38944","15.7%","52.3%","5955","50.2%","8650","53.0%","14605","51.9%","24323","52.6%","-0.7pp"
"Prickly Pair","R","C","297569","5.02","49573","6.80","236591","80.1%","53.8%","41200","54.4%","54694","54.1%","95894","54.2%","140531","53.6%","0.6pp"
"Quick Draw","R","C","382205","8.29","39461","12.06","24060","10.3%","50.8%","3701","48.5%","5457","50.1%","9158","49.5%","14877","51.5%","-2.1pp"
"Quilled Charger","R","C","365573","7.00","41594","10.27","95807","39.1%","52.3%","15653","50.8%","21441","51.4%","37094","51.1%","58395","53.0%","-1.8pp"
"Reckless Lackey","R","C","352391","6.72","37153","9.86","98937","45.5%","52.1%","17431","54.1%","22439","50.6%","39870","52.1%","59008","52.1%","0.1pp"
"Resilient Roadrunner","R","U","121706","5.13","17774","7.13","71860","68.3%","53.3%","12630","53.9%","16430","52.9%","29060","53.3%","42796","53.2%","0.1pp"
"Return the Favor","R","U","146266","7.03","15950","10.42","17703","19.0%","49.6%","2705","46.4%","4206","50.0%","6911","48.6%","10761","50.2%","-1.6pp"
"Rodeo Pyromancers","R","C","368966","7.61","34825","11.48","32759","16.1%","48.0%","5163","47.9%","8180","47.9%","13343","47.9%","19432","48.1%","-0.2pp"
"Scalestorm Summoner","R","U","91651","3.81","17919","4.91","85602","79.7%","54.4%","14849","57.4%","19318","53.7%","34167","55.3%","51474","53.8%","1.5pp"
"Scorching Shot","R","U","91829","3.79","17431","4.93","87452","84.5%","53.5%","14485","52.8%","20831","55.5%","35316","54.4%","52028","52.9%","1.5pp"
"Slickshot Show-Off","R","R","24650","2.53","6188","2.75","28188","78.9%","51.2%","5030","52.3%","6856","51.6%","11886","51.9%","16273","50.8%","1.1pp"
"Stingerback Terror","R","R","15980","1.67","9046","1.67","50877","93.1%","55.0%","8871","57.5%","12482","59.8%","21353","58.9%","29393","52.1%","6.8pp"
"Take for a Ride","R","U","143619","6.61","18081","9.57","31777","30.1%","51.2%","4941","49.1%","7414","52.5%","12355","51.2%","19372","51.2%","0.0pp"
"Terror of the Peaks","R","M","5974","1.27","4546","1.25","25138","92.7%","54.3%","4192","58.0%","6191","60.8%","10383","59.7%","14607","50.3%","9.4pp"
"Thunder Salvo","R","C","302605","5.15","43732","7.24","187361","72.9%","52.5%","31982","52.1%","45230","53.8%","77212","53.1%","109825","52.1%","1.0pp"
"Trick Shot","R","C","369436","7.28","40555","10.72","64903","27.1%","51.5%","9862","49.2%","15565","53.6%","25427","51.9%","39399","51.2%","0.6pp"
"Aloe Alchemist","G","U","71857","2.94","24489","3.51","139522","93.4%","56.1%","24690","57.6%","32079","57.4%","56769","57.5%","82494","55.1%","2.3pp"
"Ankle Biter","G","C","339925","5.97","47369","8.79","175803","61.7%","54.2%","30629","54.8%","40520","53.0%","71149","53.8%","104164","54.5%","-0.6pp"
"Beastbond Outcaster","G","U","73821","3.06","25241","3.61","143474","92.8%","56.7%","25154","59.1%","33415","57.9%","58569","58.4%","84659","55.5%","2.9pp"
"Betrayal at the Vault","G","U","113677","4.67","23076","6.22","107952","77.5%","55.3%","16058","53.8%","25667","57.9%","41725","56.3%","66022","54.6%","1.7pp"
"Bristlepack Sentry","G","C","328849","5.60","59955","7.79","276091","75.9%","55.3%","48758","55.9%","62011","54.3%","110769","55.0%","164893","55.5%","-0.5pp"
"Bristly Bill, Spine Sower","G","M","6057","1.28","5089","1.28","29948","93.9%","58.0%","5453","66.8%","7243","61.1%","12696","63.5%","17175","53.8%","9.7pp"
"Cactarantula","G","C","230573","3.86","58606","4.94","321718","90.3%","55.5%","51536","55.3%","77275","57.4%","128811","56.6%","192095","54.8%","1.7pp"
"Colossal Rattlewurm","G","R","14028","1.47","10343","1.48","59891","94.3%","56.7%","10339","60.4%","14308","61.1%","24647","60.8%","34985","53.8%","7.0pp"
"Dance of the Tumbleweeds","G","C","262191","4.31","57441","5.75","297531","85.3%","55.6%","51461","54.1%","70917","58.4%","122378","56.6%","174162","54.9%","1.7pp"
"Drover Grizzly","G","C","302824","4.99","57520","6.93","293753","84.2%","55.6%","50789","54.9%","66339","55.0%","117128","55.0%","174270","55.9%","-0.9pp"
"Freestrider Commando","G","C","306172","5.03","47932","7.32","218254","76.0%","53.7%","37368","52.7%","51021","53.2%","88389","53.0%","129881","54.2%","-1.1pp"
"Freestrider Lookout","G","R","18095","1.85","9490","1.92","52089","92.1%","54.4%","9359","56.6%","12489","55.7%","21848","56.0%","30195","53.2%","2.9pp"
"Full Steam Ahead","G","U","142938","6.48","18538","9.51","38212","34.4%","53.6%","5629","51.2%","8792","55.9%","14421","54.1%","23748","53.2%","0.8pp"
"Giant Beaver","G","C","254821","4.10","56120","5.55","313772","92.1%","55.5%","52595","55.0%","72995","55.9%","125590","55.5%","185919","55.5%","0.0pp"
"Gold Rush","G","U","138561","5.82","19647","8.54","58674","50.0%","53.3%","9341","51.3%","13394","53.7%","22735","52.7%","35810","53.6%","-0.9pp"
"Goldvein Hydra","G","M","6188","1.31","4921","1.31","28589","94.4%","55.9%","5061","56.1%","6897","61.2%","11958","59.0%","16431","53.3%","5.7pp"
"Hardbristle Bandit","G","C","216982","3.53","53708","4.58","294646","91.0%","55.1%","53354","58.8%","66771","53.1%","120125","55.6%","173786","54.7%","0.9pp"
"Intrepid Stablemaster","G","U","72320","2.98","22633","3.59","129153","93.2%","55.9%","23176","59.4%","28859","54.7%","52035","56.8%","76920","55.3%","1.5pp"
"Map the Frontier","G","U","140836","6.35","16528","9.59","28380","29.2%","51.1%","4797","49.3%","6796","50.9%","11593","50.2%","16725","51.7%","-1.5pp"
"Ornery Tumblewagg","G","R","13397","1.40","10488","1.40","62335","95.4%","57.5%","11155","64.7%","14796","60.9%","25951","62.5%","35705","53.8%","8.8pp"
